Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
JO Holder,West Indies,112,108,133,4777,5/27,38.9,35.91,5.53,4,2,2013,2019
Rashid Khan,Afghanistan,71,67,133,2467,7/18,26.7,18.54,4.16,4,4,2015,2019
A Symonds,Australia,198,158,133,4955,5/18,44.6,37.25,5.0,2,1,1998,2009
P Utseya,Zimbabwe,164,160,133,6239,5/36,64.4,46.9,4.36,2,1,2004,2015
Abdul Qadir,Pakistan,104,100,132,3454,5/44,38.6,26.16,4.06,4,2,1983,1993
B Kumar,India,114,113,132,4568,5/42,41.2,34.6,5.02,4,1,2012,2019
M Dillon,West Indies,108,107,130,4218,5/29,42.1,32.44,4.61,3,3,1997,2005
Mohammad Nabi,Afghanistan,124,120,130,4231,4/30,45.5,32.54,4.28,3,0,2009,2019
RJ Shastri,India,150,136,129,4650,5/15,51.2,36.04,4.21,2,1,1981,1992
JE Taylor,West Indies,90,88,128,3780,5/48,33.9,29.53,5.22,3,1,2003,2017
DK Morrison,New Zealand,96,95,126,3470,5/34,36.3,27.53,4.53,1,2,1987,1996
Rubel Hossain,Bangladesh,101,99,126,4300,6/26,36.0,34.12,5.68,7,1,2009,2019
Mohammad Rafique,Bangladesh,125,124,125,4739,5/47,51.3,37.91,4.43,3,1,1995,2007
KAJ Roach,West Indies,92,90,124,3763,6/27,35.9,30.34,5.06,3,3,2008,2019
Azhar Mahmood,Pakistan,143,139,123,4813,6/18,50.7,39.13,4.62,2,3,1996,2007
Mohammad Sami,Pakistan,87,85,121,3567,5/10,35.4,29.47,4.99,3,1,2001,2015
AG Cremer,Zimbabwe,96,95,119,3597,6/46,39.3,30.22,4.61,4,3,2009,2018
IR Bishop,West Indies,84,83,118,3127,5/25,36.7,26.5,4.33,7,2,1988,1997
IVA Richards,West Indies,187,131,118,4228,6/41,47.8,35.83,4.49,1,2,1975,1991
K Rabada,South Africa,75,73,117,3199,6/16,32.8,27.34,4.99,6,1,2015,2019
R Rampaul,West Indies,92,88,117,3434,5/49,34.4,29.35,5.1,8,2,2003,2015
Dawlat Zadran,Afghanistan,82,80,115,3423,4/22,32.7,29.76,5.44,3,0,2011,2019
PAJ DeFreitas,England,103,103,115,3775,4/35,49.6,32.82,3.96,1,0,1987,1997
AD Mathews,Sri Lanka,214,155,115,3907,6/20,44.2,33.97,4.61,1,1,2008,2019
I Sharma,India,80,78,115,3563,4/34,32.4,30.98,5.72,6,0,2007,2016
Wahab Riaz,Pakistan,89,88,115,4011,5/46,36.6,34.87,5.71,4,1,2008,2019
WJ Cronje,South Africa,188,153,114,3966,5/32,46.9,34.78,4.44,1,1,1992,2000
MC Snedden,New Zealand,93,90,114,3237,4/34,39.6,28.39,4.29,1,0,1980,1990
GR Larsen,New Zealand,121,119,113,4000,4/24,56.3,35.39,3.76,1,0,1990,1999
KJ O'Brien,Ireland,142,113,113,3672,4/13,37.3,32.49,5.21,5,0,2006,2019
PD Collingwood,England,197,151,111,4294,6/31,46.7,38.68,4.96,3,1,2001,2011
Mudassar Nazar,Pakistan,122,104,111,3432,5/28,43.7,30.91,4.24,1,1,1977,1989
Yuvraj Singh,India,304,161,111,4294,5/31,45.4,38.68,5.1,2,1,2000,2017
Junaid Khan,Pakistan,76,76,110,3216,4/12,32.7,29.23,5.35,4,0,2011,2019
Naved-ul-Hasan,Pakistan,74,72,110,3221,6/27,31.5,29.28,5.57,6,1,2003,2010
DR Tuffey,New Zealand,94,92,110,3534,4/24,39.3,32.12,4.89,2,0,2000,2010
TT Bresnan,England,85,84,109,3813,5/48,38.7,34.98,5.42,3,1,2006,2015
GP Wickramasinghe,Sri Lanka,134,132,109,4321,4/48,52.4,39.64,4.53,1,0,1990,2002
SP O'Donnell,Australia,87,87,108,3102,5/13,40.2,28.72,4.27,5,1,1985,1991
DNT Zoysa,Sri Lanka,95,93,108,3213,5/26,39.4,29.75,4.52,2,1,1997,2007
RAS Lakmal,Sri Lanka,85,83,107,3478,4/13,35.7,32.5,5.45,3,0,2009,2019
Mustafizur Rahman,Bangladesh,56,55,107,2458,6/43,26.2,22.97,5.24,3,5,2015,2019
PA de Silva,Sri Lanka,308,156,106,4177,4/30,48.5,39.4,4.86,2,0,1984,2003
TM Dilshan,Sri Lanka,330,204,106,4778,4/4,55.4,45.07,4.87,3,0,1999,2016
A Nel,South Africa,79,76,106,2935,5/45,35.8,27.68,4.63,3,1,2001,2008
PR Reiffel,Australia,92,92,106,3096,4/13,44.6,29.2,3.92,5,0,1992,1999
UT Yadav,India,75,73,106,3565,4/31,33.5,33.63,6.01,4,0,2010,2018
GW Flower,Zimbabwe,221,156,104,4225,4/32,52.5,40.62,4.64,2,0,1992,2010
WB Rankin,England,73,71,104,2893,4/15,34.6,27.81,4.82,4,0,2007,2019
GP Swann,England,79,76,104,2888,5/28,36.6,27.76,4.54,3,1,2000,2013
JJ Bumrah,India,58,58,103,2254,5/27,29.2,21.88,4.49,5,1,2016,2019
DK Lillee,Australia,63,63,103,2145,5/34,34.8,20.82,3.58,5,1,1972,1983
C Pringle,New Zealand,64,64,103,2459,5/45,32.1,23.87,4.45,2,1,1990,1995
ST Finn,England,69,67,102,2996,5/33,34.8,29.37,5.06,4,2,2011,2017
E Chigumbura,Zimbabwe,213,132,101,4274,4/28,42.9,42.31,5.91,1,0,2004,2018
WKM Benjamin,West Indies,85,85,100,3079,5/22,44.4,30.79,4.15,0,1,1986,1995
SC Ganguly,India,311,171,100,3849,5/16,45.6,38.49,5.06,1,2,1992,2007
RA Harper,West Indies,105,99,100,3431,4/40,51.7,34.31,3.97,3,0,1983,1996
CK Langeveldt,South Africa,72,71,100,2962,5/39,34.8,29.62,5.09,1,2,2001,2010
